hu_id;num_palavras;num_criterios_aceite;num_regras_negocio;estrutura_tecnica_0/1;clareza_score_0_10;score_qualidade;nivel_qualidade;flag_baixa_qualidade;completude;tem_criterios;tem_regras;tem_tecnico
hu_0001;54;1;2;0;4.67;2.5566666666666666;Baixa;True;5;True;True;False
hu_0002;109;1;3;0;4.09;2.6966666666666668;Baixa;True;5;True;True;False
hu_0003;111;2;3;0;5.35;3.4499999999999997;Baixa;True;5;True;True;False
hu_0004;83;3;1;0;6.87;3.6233333333333335;Baixa;True;5;True;True;False
hu_0005;85;3;2;0;6.19;3.7300000000000004;Baixa;True;5;True;True;False
hu_0006;77;3;1;1;4.21;2.736666666666667;Baixa;True;5;True;True;True
hu_0007;69;1;3;0;5.36;3.1199999999999997;Baixa;True;5;True;True;False
hu_0008;66;3;0;1;5.9;2.966666666666667;Baixa;True;5;True;False;True
hu_0009;74;2;2;0;4.69;2.896666666666667;Baixa;True;5;True;True;False
hu_0010;67;3;1;1;5.5;3.1666666666666665;Baixa;True;5;True;True;True
hu_0011;71;3;3;1;5.2;3.733333333333333;Baixa;True;5;True;True;True
hu_0012;46;1;1;1;4.48;2.16;Baixa;True;5;True;True;True
hu_0013;88;4;2;1;6.58;4.193333333333333;Média;False;5;True;True;True
hu_0014;74;3;0;0;5.3;2.766666666666667;Baixa;True;5;True;False;False
hu_0015;73;2;0;1;4.9;2.3000000000000003;Baixa;True;5;True;False;True
hu_0016;60;1;2;0;4.06;2.353333333333333;Baixa;True;5;True;True;False
hu_0017;70;1;0;1;5.46;2.1533333333333333;Baixa;True;5;True;False;True
hu_0018;110;2;2;1;6.62;3.5400000000000005;Baixa;True;5;True;True;True
hu_0019;65;3;3;1;5.95;3.983333333333333;Baixa;True;5;True;True;True
hu_0020;48;3;0;1;5.66;2.8866666666666667;Baixa;True;5;True;False;True
hu_0021;120;1;1;0;6.72;2.9066666666666663;Baixa;True;5;True;True;False
hu_0022;75;4;1;1;4.4;3.1333333333333333;Baixa;True;5;True;True;True
hu_0023;92;2;0;0;5.98;2.66;Baixa;True;5;True;False;False
hu_0024;46;1;0;0;6.18;2.393333333333333;Baixa;True;5;True;False;False
hu_0025;108;4;1;0;4.55;3.1833333333333336;Baixa;True;5;True;True;False
hu_0026;110;1;0;1;7.0;2.6666666666666665;Baixa;True;5;True;False;True
hu_0027;70;2;3;0;5.44;3.4800000000000004;Baixa;True;5;True;True;False
hu_0028;40;4;2;0;4.86;3.6199999999999997;Baixa;True;5;True;True;False
hu_0029;67;1;0;1;4.94;1.9800000000000002;Baixa;True;5;True;False;True
hu_0030;107;2;0;1;4.24;2.08;Baixa;True;5;True;False;True
hu_0031;70;4;0;1;4.74;2.9133333333333336;Baixa;True;5;True;False;True
hu_0032;114;3;2;0;6.01;3.67;Baixa;True;5;True;True;False
hu_0033;78;4;2;0;4.03;3.3433333333333337;Baixa;True;5;True;True;False
hu_0034;104;3;1;0;6.64;3.546666666666667;Baixa;True;5;True;True;False
hu_0035;96;3;0;1;6.45;3.15;Baixa;True;5;True;False;True
hu_0036;53;2;2;0;5.81;3.2699999999999996;Baixa;True;5;True;True;False
hu_0037;73;4;2;0;4.28;3.426666666666667;Baixa;True;5;True;True;False
hu_0038;56;3;1;1;5.33;3.11;Baixa;True;5;True;True;True
hu_0039;49;2;0;0;5.75;2.5833333333333335;Baixa;True;5;True;False;False
hu_0040;86;1;2;0;6.05;3.016666666666667;Baixa;True;5;True;True;False
hu_0041;92;2;1;0;6.93;3.31;Baixa;True;5;True;True;False
hu_0042;82;4;1;0;4.48;3.16;Baixa;True;5;True;True;False
hu_0043;100;2;1;0;5.05;2.6833333333333336;Baixa;True;5;True;True;False
hu_0044;64;4;2;0;6.59;4.196666666666666;Média;False;5;True;True;False
hu_0045;91;3;0;0;6.63;3.2099999999999995;Baixa;True;5;True;False;False
hu_0046;73;1;0;1;5.3;2.1;Baixa;True;5;True;False;True
hu_0047;105;1;3;1;4.57;2.856666666666667;Baixa;True;5;True;True;True
hu_0048;108;2;2;0;4.21;2.736666666666667;Baixa;True;5;True;True;False
hu_0049;55;3;2;1;5.23;3.41;Baixa;True;5;True;True;True
hu_0050;93;4;1;1;5.71;3.5700000000000003;Baixa;True;5;True;True;True
hu_0051;95;3;3;0;5.33;3.776666666666667;Baixa;True;5;True;True;False
hu_0052;50;3;2;0;6.46;3.8200000000000003;Baixa;True;5;True;True;False
hu_0053;65;2;0;0;4.73;2.2433333333333336;Baixa;True;5;True;False;False
hu_0054;120;2;3;0;5.2;3.4;Baixa;True;5;True;True;False
hu_0055;68;2;3;0;5.67;3.5566666666666666;Baixa;True;5;True;True;False
hu_0056;99;3;3;1;6.45;4.1499999999999995;Média;False;5;True;True;True
hu_0057;60;4;3;0;6.26;4.42;Média;False;5;True;True;False
hu_0058;70;3;3;0;6.14;4.046666666666667;Média;False;5;True;True;False
hu_0059;109;1;1;0;4.69;2.23;Baixa;True;5;True;True;False
hu_0060;93;4;2;1;5.4;3.8000000000000003;Baixa;True;5;True;True;True
hu_0061;114;1;3;0;4.02;2.6733333333333333;Baixa;True;5;True;True;False
hu_0062;93;2;3;0;4.82;3.2733333333333334;Baixa;True;5;True;True;False
hu_0063;91;2;3;0;6.94;3.9800000000000004;Baixa;True;5;True;True;False
hu_0064;43;1;3;0;6.6;3.533333333333333;Baixa;True;5;True;True;False
hu_0065;67;4;2;0;6.28;4.093333333333334;Média;False;5;True;True;False
hu_0066;50;4;0;1;5.62;3.206666666666667;Baixa;True;5;True;False;True
hu_0067;45;1;1;0;6.52;2.84;Baixa;True;5;True;True;False
hu_0068;54;2;3;1;4.77;3.2566666666666664;Baixa;True;5;True;True;True
hu_0069;54;2;2;0;5.74;3.2466666666666666;Baixa;True;5;True;True;False
hu_0070;88;4;1;0;5.78;3.5933333333333337;Baixa;True;5;True;True;False
hu_0071;78;1;0;0;5.6;2.1999999999999997;Baixa;True;5;True;False;False
hu_0072;83;1;3;0;4.32;2.7733333333333334;Baixa;True;5;True;True;False
hu_0073;98;2;3;0;6.2;3.733333333333333;Baixa;True;5;True;True;False
hu_0074;108;4;3;0;6.48;4.493333333333333;Média;False;5;True;True;False
hu_0075;51;3;3;0;6.25;4.083333333333333;Média;False;5;True;True;False
hu_0076;81;2;3;0;5.06;3.353333333333333;Baixa;True;5;True;True;False
hu_0077;75;1;1;0;4.72;2.2399999999999998;Baixa;True;5;True;True;False
hu_0078;100;4;3;0;4.28;3.7600000000000002;Baixa;True;5;True;True;False
hu_0079;114;3;3;1;5.59;3.8633333333333333;Baixa;True;5;True;True;True
hu_0080;74;3;2;0;4.36;3.1199999999999997;Baixa;True;5;True;True;False
hu_0081;63;2;1;1;5.45;2.8166666666666664;Baixa;True;5;True;True;True
hu_0082;77;2;2;0;4.91;2.97;Baixa;True;5;True;True;False
hu_0083;46;3;1;1;6.61;3.5366666666666666;Baixa;True;5;True;True;True
hu_0084;100;4;3;0;4.55;3.85;Baixa;True;5;True;True;False
hu_0085;48;4;3;0;5.73;4.243333333333333;Média;False;5;True;True;False
hu_0086;112;3;0;0;4.36;2.4533333333333336;Baixa;True;5;True;False;False
hu_0087;119;2;3;0;6.73;3.91;Baixa;True;5;True;True;False
hu_0088;47;1;1;1;4.63;2.21;Baixa;True;5;True;True;True
hu_0089;110;1;1;0;5.23;2.41;Baixa;True;5;True;True;False
hu_0090;76;3;3;0;6.06;4.02;Média;False;5;True;True;False
hu_0091;65;4;0;1;4.67;2.89;Baixa;True;5;True;False;True
hu_0092;61;3;2;0;4.37;3.1233333333333335;Baixa;True;5;True;True;False
hu_0093;74;4;3;0;5.79;4.263333333333333;Média;False;5;True;True;False
hu_0094;72;1;0;0;6.89;2.63;Baixa;True;5;True;False;False
hu_0095;113;1;1;0;5.56;2.52;Baixa;True;5;True;True;False
hu_0096;95;4;0;0;5.04;3.013333333333333;Baixa;True;5;True;False;False
hu_0097;60;3;3;1;5.49;3.83;Baixa;True;5;True;True;True
hu_0098;51;3;2;0;4.35;3.1166666666666667;Baixa;True;5;True;True;False
hu_0099;40;4;3;0;4.56;3.853333333333333;Baixa;True;5;True;True;False
hu_0100;46;2;2;1;4.39;2.796666666666667;Baixa;True;5;True;True;True
hu_0101;43;2;1;0;5.65;2.8833333333333333;Baixa;True;5;True;True;False
hu_0102;54;4;0;1;6.5;3.5;Baixa;True;5;True;False;True
hu_0103;93;4;3;0;5.37;4.123333333333334;Média;False;5;True;True;False
hu_0104;105;2;0;0;6.32;2.7733333333333334;Baixa;True;5;True;False;False
hu_0105;104;3;0;0;6.18;3.06;Baixa;True;5;True;False;False
hu_0106;101;3;2;1;6.29;3.763333333333333;Baixa;True;5;True;True;True
hu_0107;70;4;1;0;4.13;3.043333333333333;Baixa;True;5;True;True;False
hu_0108;88;4;1;0;6.89;3.9633333333333334;Baixa;True;5;True;True;False
hu_0109;96;1;3;0;6.17;3.39;Baixa;True;5;True;True;False
hu_0110;73;3;3;1;4.24;3.4133333333333336;Baixa;True;5;True;True;True
hu_0111;102;1;0;0;5.89;2.2966666666666664;Baixa;True;5;True;False;False
hu_0112;95;1;0;0;4.5;1.8333333333333333;Baixa;True;5;True;False;False
hu_0113;47;3;2;0;5.29;3.4299999999999997;Baixa;True;5;True;True;False
hu_0114;63;2;1;0;5.83;2.9433333333333334;Baixa;True;5;True;True;False
hu_0115;58;2;3;1;4.76;3.2533333333333334;Baixa;True;5;True;True;True
hu_0116;109;2;0;0;6.84;2.9466666666666668;Baixa;True;5;True;False;False
hu_0117;72;4;2;0;7.0;4.333333333333333;Média;False;5;True;True;False
hu_0118;113;3;2;1;4.89;3.296666666666667;Baixa;True;5;True;True;True
hu_0119;46;4;2;0;5.82;3.94;Baixa;True;5;True;True;False
hu_0120;72;2;0;1;5.94;2.646666666666667;Baixa;True;5;True;False;True
